sku,base_image,small_image,thumbnail_image,errors
"Super Skinny Four Button Suit Black L",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Suit Jacket Brown L",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Four Button Suit Grey XXL",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Four Button Suit Grey L",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Suit Jacket Deep Blue L",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
watch-1,p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
dec30test2,p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Suit Jacket Deep Blue S",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"product 12",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Jack & Jones Bow Tie Knitted",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
