sku,base_image,small_image,thumbnail_image,errors
"Super Skinny Four Button Suit Black L",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Suit Jacket Brown M",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Four Button Suit Black S",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Four Button Suit Grey XL",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
watch-1,p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
dec30test2,p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Super Skinny Suit Jacket Deep Blue XL",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"product 12-1-1",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
boot,p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
"Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink",p1.jgp,p1.jgp,p1.jgp,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
