sku,base_image,small_image,thumbnail_image,name,errors
"Super Skinny Four Button Suit Black L",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Four Button Suit Black L","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Blackjpg M",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Suit Jacket Blackjpg M","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Blackjpg S",p3.jpg,p3.jpg,p3.jpg,"Super Skinny Suit Jacket Blackjpg S","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Blackjpg XL",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Suit Jacket Blackjpg XL","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Blackjpg XXL",p5.jpg,p5.jpg,p5.jpg,"Super Skinny Suit Jacket Blackjpg XXL","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Brown L",p6.jpg,p6.jpg,p6.jpg,"Super Skinny Suit Jacket Brown L","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Brown M",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Suit Jacket Brown M","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Brown S",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Suit Jacket Brown S","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Brown XL",p3.jpg,p3.jpg,p3.jpg,"Super Skinny Suit Jacket Brown XL","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Blackjpg L",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Suit Jacket Blackjpg L","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Grey XXL",p5.jpg,p5.jpg,p5.jpg,"Super Skinny Four Button Suit Grey XXL","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Black M",p6.jpg,p6.jpg,p6.jpg,"Super Skinny Four Button Suit Black M","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Black S",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Four Button Suit Black S","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Black XL",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Four Button Suit Black XL","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Black XXL",p3.jpg,p3.jpg,p3.jpg,"Super Skinny Four Button Suit Black XXL","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Grey L",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Four Button Suit Grey L","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Grey M",p5.jpg,p5.jpg,p5.jpg,"Super Skinny Four Button Suit Grey M","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Grey S",p6.jpg,p6.jpg,p6.jpg,"Super Skinny Four Button Suit Grey S","Product Type is invalid or not supported"
"Super Skinny Four Button Suit Grey XL",p1.jpg,p1.jpg,p1.jpg,"Super Skinny Four Button Suit Grey XL","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Brown XXL",p2.jpg,p2.jpg,p2.jpg,"Super Skinny Suit Jacket Brown XXL","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Deep Blue L",p3.jpg,p3.jpg,p3.jpg,"Super Skinny Suit Jacket Deep Blue L","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Deep Blue M",p4.jpg,p4.jpg,p4.jpg,"Super Skinny Suit Jacket Deep Blue M","Product Type is invalid or not supported"
watch,p5.jpg,p5.jpg,p5.jpg,watch,"Product Type is invalid or not supported"
watch,p6.jpg,p6.jpg,p6.jpg,watch,"Product Type is invalid or not supported"
watch-1,p1.jpg,p1.jpg,p1.jpg,watch-1,"Product Type is invalid or not supported"
watch-1,p2.jpg,p2.jpg,p2.jpg,watch-1,"Product Type is invalid or not supported"
Cell-phone,p3.jpg,p3.jpg,p3.jpg,Cell-phone,"Product Type is invalid or not supported"
Cell-phone,p4.jpg,p4.jpg,p4.jpg,Cell-phone,"Product Type is invalid or not supported"
test5,p5.jpg,p5.jpg,p5.jpg,test5,"Product Type is invalid or not supported"
Dec30test,p6.jpg,p6.jpg,p6.jpg,Dec30test,"Product Type is invalid or not supported"
dec30test2,p1.jpg,p1.jpg,p1.jpg,dec30test2,"Product Type is invalid or not supported"
dec30test7,p2.jpg,p2.jpg,p2.jpg,dec30test7,"Product Type is invalid or not supported"
dec30test9,p3.jpg,p3.jpg,p3.jpg,dec30test9,"Product Type is invalid or not supported"
"Product 10-1",p4.jpg,p4.jpg,p4.jpg,"Product 10-1","Product Type is invalid or not supported"
"product 12-1-1-1",p5.jpg,p5.jpg,p5.jpg,"product 12-1-1-1","Product Type is invalid or not supported"
"Super Skinny Suit Jacket Deep Blue S",p6.jpg,p6.jpg,p6.jpg,"Super Skinny Suit Jacket Deep Blue S","Product Type is invalid or not supported"
