sku,base_image,small_image,thumbnail_image
Super Skinny Four Button Suit Black L,p1.jpg,p1.jpg,p1.jpg
Super Skinny Suit Jacket Blackjpg M,p2.jpg,p2.jpg,p2.jpg
Super Skinny Suit Jacket Blackjpg S,p3.jpg,p3.jpg,p3.jpg
Super Skinny Suit Jacket Blackjpg XL,p4.jpg,p4.jpg,p4.jpg
Super Skinny Suit Jacket Blackjpg XXL,p5.jpg,p5.jpg,p5.jpg
Super Skinny Suit Jacket Brown L,p1.jpg,p1.jpg,p1.jpg
Super Skinny Suit Jacket Brown M,p2.jpg,p2.jpg,p2.jpg
Super Skinny Suit Jacket Brown S,p3.jpg,p3.jpg,p3.jpg
Super Skinny Suit Jacket Brown XL,p4.jpg,p4.jpg,p4.jpg
Super Skinny Suit Jacket Blackjpg L,p5.jpg,p5.jpg,p5.jpg
Super Skinny Four Button Suit Grey XXL,p1.jpg,p1.jpg,p1.jpg
Super Skinny Four Button Suit Black M,p2.jpg,p2.jpg,p2.jpg
Super Skinny Four Button Suit Black S,p3.jpg,p3.jpg,p3.jpg
Super Skinny Four Button Suit Black XL,p4.jpg,p4.jpg,p4.jpg
Super Skinny Four Button Suit Black XXL,p5.jpg,p5.jpg,p5.jpg
Super Skinny Four Button Suit Grey L,p1.jpg,p1.jpg,p1.jpg
Super Skinny Four Button Suit Grey M,p2.jpg,p2.jpg,p2.jpg
Super Skinny Four Button Suit Grey S,p3.jpg,p3.jpg,p3.jpg
Super Skinny Four Button Suit Grey XL,p4.jpg,p4.jpg,p4.jpg
Super Skinny Suit Jacket Brown XXL,p5.jpg,p5.jpg,p5.jpg
Super Skinny Suit Jacket Deep Blue L,p1.jpg,p1.jpg,p1.jpg
Super Skinny Suit Jacket Deep Blue M,p2.jpg,p2.jpg,p2.jpg
watch,p3.jpg,p3.jpg,p3.jpg
watch,p4.jpg,p4.jpg,p4.jpg
watch-1,p5.jpg,p5.jpg,p5.jpg
watch-1,p1.jpg,p1.jpg,p1.jpg
Cell-phone,p2.jpg,p2.jpg,p2.jpg
Cell-phone,p3.jpg,p3.jpg,p3.jpg
test5,p4.jpg,p4.jpg,p4.jpg
Dec30test,p5.jpg,p5.jpg,p5.jpg
dec30test2,p1.jpg,p1.jpg,p1.jpg
dec30test7,p2.jpg,p2.jpg,p2.jpg
dec30test9,p3.jpg,p3.jpg,p3.jpg
Product 10-1,p4.jpg,p4.jpg,p4.jpg
product 12-1-1-1,p5.jpg,p5.jpg,p5.jpg
Super Skinny Suit Jacket Deep Blue S,p1.jpg,p1.jpg,p1.jpg
Super Skinny Suit Jacket Deep Blue XL,p2.jpg,p2.jpg,p2.jpg
Super Skinny Suit Jacket Deep Blue XXL,p3.jpg,p3.jpg,p3.jpg
Product 10,p4.jpg,p4.jpg,p4.jpg
product 11,p5.jpg,p5.jpg,p5.jpg
product 12,p1.jpg,p1.jpg,p1.jpg
product 12-1,p2.jpg,p2.jpg,p2.jpg
product 12-1-1,p3.jpg,p3.jpg,p3.jpg
dec30test11,p4.jpg,p4.jpg,p4.jpg
Skinny Suit Jacket Burgundy XXL,p5.jpg,p5.jpg,p5.jpg
Jack & Jones Bow Tie Knitted,p1.jpg,p1.jpg,p1.jpg
watch-2,p2.jpg,p2.jpg,p2.jpg
watch-2,p3.jpg,p3.jpg,p3.jpg
boot,p4.jpg,p4.jpg,p4.jpg
boot,p5.jpg,p5.jpg,p5.jpg
shoe,p1.jpg,p1.jpg,p1.jpg
shoe,p2.jpg,p2.jpg,p2.jpg
Skinny Fit Shirt In Camel With Long Sleeves,p3.jpg,p3.jpg,p3.jpg
Reiss Slim Smart Shirt With Classic Collar,p4.jpg,p4.jpg,p4.jpg
Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink,p5.jpg,p5.jpg,p5.jpg
New Look Charcoal Shirt With Floral Print In Regular Print,p1.jpg,p1.jpg,p1.jpg
Military Shirt In Black Viscose In Regular Fit,p2.jpg,p2.jpg,p2.jpg
knife-2,p3.jpg,p3.jpg,p3.jpg
knife-2,p4.jpg,p4.jpg,p4.jpg
Heart & Dagger Skinny Grandad Shirt In Chambray,p5.jpg,p5.jpg,p5.jpg
Heart & Dagger Skinny Grandad Shirt In Chambray,p1.jpg,p1.jpg,p1.jpg
Farah Oxford Shirt In Slim Fit Light Grey,p2.jpg,p2.jpg,p2.jpg
Farah Oxford Shirt In Slim Fit Light Grey,p3.jpg,p3.jpg,p3.jpg
Esprit Stretch Fit Shirt,p4.jpg,p4.jpg,p4.jpg
Esprit Stretch Fit Shirt,p5.jpg,p5.jpg,p5.jpg
Noose & Monkey Melton Bow Tie Made in Italy,p1.jpg,p1.jpg,p1.jpg
Noose & Monkey Bow Tie,p2.jpg,p2.jpg,p2.jpg
