sku,base_image,small_image,thumbnail_image,errors
"Super Skinny Four Button Suit Black L",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Blackjpg M",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Blackjpg S",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Blackjpg XL",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Blackjpg XXL",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Brown L",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Brown M",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Brown S",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Brown XL",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Blackjpg L",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey XXL",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Black M",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Black S",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Black XL",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Black XXL",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey L",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey M",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey S",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Four Button Suit Grey XL",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Brown XXL",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue L",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue M",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
watch,p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
watch,p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
watch-1,p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
watch-1,p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
Cell-phone,p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
Cell-phone,p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
test5,p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
Dec30test,p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
dec30test2,p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
dec30test7,p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
dec30test9,p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Product 10-1",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"product 12-1-1-1",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue S",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue XL",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Super Skinny Suit Jacket Deep Blue XXL",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Product 10",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"product 11",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"product 12",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"product 12-1",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"product 12-1-1",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
dec30test11,p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Suit Jacket Burgundy XXL",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Jack & Jones Bow Tie Knitted",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
watch-2,p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
watch-2,p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
boot,p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
boot,p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
shoe,p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
shoe,p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Skinny Fit Shirt In Camel With Long Sleeves",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Reiss Slim Smart Shirt With Classic Collar",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Polo Ralph Lauren Smart Poplin Shirt In Slim Fit Pink",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"New Look Charcoal Shirt With Floral Print In Regular Print",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Military Shirt In Black Viscose In Regular Fit",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
knife-2,p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
knife-2,p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Heart & Dagger Skinny Grandad Shirt In Chambray",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Heart & Dagger Skinny Grandad Shirt In Chambray",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
"Farah Oxford Shirt In Slim Fit Light Grey",p2.jpg,p2.jpg,p2.jpg,"Please make sure attribute ""name"" is not empty."
"Farah Oxford Shirt In Slim Fit Light Grey",p3.jpg,p3.jpg,p3.jpg,"Please make sure attribute ""name"" is not empty."
"Esprit Stretch Fit Shirt",p4.jpg,p4.jpg,p4.jpg,"Please make sure attribute ""name"" is not empty."
"Esprit Stretch Fit Shirt",p5.jpg,p5.jpg,p5.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Melton Bow Tie Made in Italy",p6.jpg,p6.jpg,p6.jpg,"Please make sure attribute ""name"" is not empty."
"Noose & Monkey Bow Tie",p1.jpg,p1.jpg,p1.jpg,"Please make sure attribute ""name"" is not empty."
